run_id,fault_type,fault_category,severity,target_service,chaos_kind,injection_time,duration_seconds,text,label,confidence,split,pre_fault_baseline,source,dominant_log_signal,dominant_event_reason,warning_event_count,total_log_error_lines,cascade_depth
pod_kill__cartservice__0__238d84,pod_kill,pod,high,cartservice,PodChaos,2026-03-12T21:43:47.221215+00:00,30,"event_types: Killing, Scheduled, Pulled, Created, Started | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: none",pod_kill,1.0,test,True,chaos_mesh,,Killing,0,0,0
pod_kill__cartservice__0__23cd1e,pod_kill,pod,high,cartservice,PodChaos,2026-03-12T21:51:53.145058+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Scheduled | dominant_log_signal: none",pod_kill,1.0,train,True,chaos_mesh,,Scheduled,0,0,0
pod_kill__cartservice__1__c6147f,pod_kill,pod,high,cartservice,PodChaos,2026-03-12T21:53:14.370687+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_kill,1.0,train,True,chaos_mesh,,Unhealthy,2,0,0
pod_kill__cartservice__2__4019a6,pod_kill,pod,high,cartservice,PodChaos,2026-03-12T21:54:39.513398+00:00,30,"event_types: Unhealthy, Killing, Scheduled, Pulled, Created | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_kill,1.0,test,True,chaos_mesh,,Unhealthy,3,0,0
pod_kill__frontend__0__afddb4,pod_kill,pod,high,frontend,PodChaos,2026-03-12T21:55:59.659365+00:00,30,"event_types: Killing, Scheduled, Pulled, Created, Started | log_signals: connection_refused, http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: connection_refused",pod_kill,1.0,train,True,chaos_mesh,connection_refused,Killing,0,2,0
pod_kill__frontend__1__d5f9f3,pod_kill,pod,high,frontend,PodChaos,2026-03-12T21:57:19.948879+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Killing | log_signals: connection_refused, permission_denied | fault_category: pod | severity: high | metrics: none | pod_status_reason: Scheduled | dominant_log_signal: connection_refused",pod_kill,1.0,train,True,chaos_mesh,connection_refused,Scheduled,1,2,0
pod_kill__frontend__2__8643c6,pod_kill,pod,high,frontend,PodChaos,2026-03-12T21:58:45.085985+00:00,30,"event_types: Killing, Scheduled, Pulled, Created, Started | log_signals: connection_refused | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: connection_refused",pod_kill,1.0,test,True,chaos_mesh,connection_refused,Killing,0,2,0
pod_kill__checkoutservice__0__c6689b,pod_kill,pod,high,checkoutservice,PodChaos,2026-03-12T22:00:13.296887+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Killing | log_signals: http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Scheduled | dominant_log_signal: http_5xx",pod_kill,1.0,train,True,chaos_mesh,http_5xx,Scheduled,0,0,0
pod_kill__checkoutservice__1__6a9c94,pod_kill,pod,high,checkoutservice,PodChaos,2026-03-12T22:04:30.259897+00:00,30,"event_types: Killing, Scheduled, Pulled, Created, Started | log_signals: permission_denied, http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: permission_denied",pod_kill,1.0,train,True,chaos_mesh,permission_denied,Killing,0,0,0
pod_kill__checkoutservice__2__6f891b,pod_kill,pod,high,checkoutservice,PodChaos,2026-03-12T22:06:00.331529+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Killing | log_signals: http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Scheduled | dominant_log_signal: http_5xx",pod_kill,1.0,test,True,chaos_mesh,http_5xx,Scheduled,1,0,0
pod_kill__productcatalogservice__0__7d4ba8,pod_kill,pod,high,productcatalogservice,PodChaos,2026-03-12T22:07:25.468598+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Scheduled | dominant_log_signal: none",pod_kill,1.0,train,True,chaos_mesh,,Scheduled,0,0,0
pod_kill__productcatalogservice__1__50984c,pod_kill,pod,high,productcatalogservice,PodChaos,2026-03-12T22:08:50.603893+00:00,30,"event_types: Killing, Scheduled, Pulled, Created, Started | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: none",pod_kill,1.0,train,True,chaos_mesh,,Killing,0,0,0
pod_kill__productcatalogservice__2__4bcf0e,pod_kill,pod,high,productcatalogservice,PodChaos,2026-03-12T22:10:15.733066+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Scheduled | dominant_log_signal: none",pod_kill,1.0,test,True,chaos_mesh,,Scheduled,0,0,0
pod_kill__paymentservice__0__4dfab7,pod_kill,pod,high,paymentservice,PodChaos,2026-03-12T22:11:36.058486+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Unhealthy | log_signals: http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: http_5xx",pod_kill,1.0,train,True,chaos_mesh,http_5xx,Unhealthy,2,0,0
pod_kill__paymentservice__1__f0c2a1,pod_kill,pod,high,paymentservice,PodChaos,2026-03-12T22:12:51.496179+00:00,30,"event_types: Pulled, Created, Started, Unhealthy, Killing | log_signals: http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: http_5xx",pod_kill,1.0,train,True,chaos_mesh,http_5xx,Unhealthy,4,0,0
pod_kill__paymentservice__2__a5ffc0,pod_kill,pod,high,paymentservice,PodChaos,2026-03-12T22:14:06.978116+00:00,30,"event_types: Scheduled, Pulled, Created, Started, Unhealthy | log_signals: http_5xx | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: http_5xx",pod_kill,1.0,test,True,chaos_mesh,http_5xx,Unhealthy,2,0,0
pod_failure__cartservice__0__dc74c8,pod_failure,pod,high,cartservice,PodChaos,2026-03-12T22:15:32.106073+00:00,60,"event_types: Created, Started, Killing, Pulling, Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,4,0,0
pod_failure__cartservice__1__56757a,pod_failure,pod,high,cartservice,PodChaos,2026-03-12T22:17:12.267431+00:00,60,"event_types: Pulled, Created, Started, Unhealthy, Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,11,0,0
pod_failure__cartservice__2__a3b97f,pod_failure,pod,high,cartservice,PodChaos,2026-03-12T22:20:25.461734+00:00,60,event_types: Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: none,pod_failure,1.0,test,True,chaos_mesh,,Killing,0,0,0
pod_failure__frontend__0__820a59,pod_failure,pod,high,frontend,PodChaos,2026-03-12T22:22:55.836347+00:00,60,"event_types: Created, Started, Killing, Pulling, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,4,0,0
pod_failure__frontend__1__039fea,pod_failure,pod,high,frontend,PodChaos,2026-03-12T22:24:37.043406+00:00,60,"event_types: Pulled, Created, Started, Killing, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,8,0,0
pod_failure__frontend__2__5171ba,pod_failure,pod,high,frontend,PodChaos,2026-03-12T22:26:20.241936+00:00,60,event_types: Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none,pod_failure,1.0,test,True,chaos_mesh,,Unhealthy,4,0,0
pod_failure__checkoutservice__0__2812b1,pod_failure,pod,high,checkoutservice,PodChaos,2026-03-12T22:28:00.409331+00:00,60,"event_types: Created, Started, Killing, Pulled, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,11,0,0
pod_failure__checkoutservice__1__00f6ec,pod_failure,pod,high,checkoutservice,PodChaos,2026-03-12T22:30:06.051761+00:00,60,"event_types: Pulled, Created, Started, Killing, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,13,0,0
pod_failure__checkoutservice__2__541706,pod_failure,pod,high,checkoutservice,PodChaos,2026-03-12T22:31:41.534922+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,pod_failure,1.0,test,True,chaos_mesh,,,0,0,0
pod_failure__productcatalogservice__0__559595,pod_failure,pod,high,productcatalogservice,PodChaos,2026-03-12T22:33:21.773739+00:00,60,"event_types: Created, Started, Killing, Pulled, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,11,0,0
pod_failure__productcatalogservice__1__9a77a5,pod_failure,pod,high,productcatalogservice,PodChaos,2026-03-12T22:35:01.922361+00:00,60,"event_types: Pulled, Created, Started, Killing, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,13,0,0
pod_failure__productcatalogservice__2__f49851,pod_failure,pod,high,productcatalogservice,PodChaos,2026-03-12T22:36:37.488652+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,pod_failure,1.0,test,True,chaos_mesh,,,0,0,0
pod_failure__paymentservice__0__d83b97,pod_failure,pod,high,paymentservice,PodChaos,2026-03-12T22:38:21.926771+00:00,60,"event_types: Created, Started, Unhealthy, Killing, Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,13,0,0
pod_failure__paymentservice__1__be140b,pod_failure,pod,high,paymentservice,PodChaos,2026-03-12T22:40:02.099623+00:00,60,"event_types: Pulled, Created, Started, Unhealthy, Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",pod_failure,1.0,train,True,chaos_mesh,,Unhealthy,14,0,0
pod_failure__paymentservice__2__a7ddbe,pod_failure,pod,high,paymentservice,PodChaos,2026-03-12T22:41:42.299200+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,pod_failure,1.0,test,True,chaos_mesh,,,0,0,0
oomkilled__cartservice__0__304726,oomkilled,pod,critical,cartservice,StressChaos,2026-03-12T22:59:43.223890+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,oomkilled,1.0,train,True,chaos_mesh,,,0,0,0
oomkilled__cartservice__1__176d6e,oomkilled,pod,critical,cartservice,StressChaos,2026-03-12T23:01:25.524132+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,oomkilled,1.0,train,True,chaos_mesh,,,0,0,0
oomkilled__cartservice__2__864240,oomkilled,pod,critical,cartservice,StressChaos,2026-03-12T23:03:08.761601+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,oomkilled,1.0,test,True,chaos_mesh,,,0,0,0
oomkilled__frontend__0__acedf2,oomkilled,pod,critical,frontend,StressChaos,2026-03-12T23:07:07.063232+00:00,90,"event_types: none | log_signals: timeout, permission_denied, resource_exhausted, http_5xx, grpc_error | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",oomkilled,1.0,train,True,chaos_mesh,http_5xx,,0,2,0
oomkilled__frontend__1__dc8504,oomkilled,pod,critical,frontend,StressChaos,2026-03-12T23:08:47.251705+00:00,90,"event_types: none | log_signals: timeout, permission_denied, resource_exhausted, http_5xx, grpc_error | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: permission_denied",oomkilled,1.0,train,True,chaos_mesh,permission_denied,,0,1,0
oomkilled__frontend__2__3d24b8,oomkilled,pod,critical,frontend,StressChaos,2026-03-12T23:11:01.671200+00:00,90,"event_types: none | log_signals: permission_denied, resource_exhausted, http_5xx | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",oomkilled,1.0,test,True,chaos_mesh,http_5xx,,0,0,0
oomkilled__checkoutservice__0__835ee7,oomkilled,pod,critical,checkoutservice,StressChaos,2026-03-12T23:12:37.684825+00:00,90,"event_types: none | log_signals: permission_denied, resource_exhausted | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: permission_denied",oomkilled,1.0,train,True,chaos_mesh,permission_denied,,0,0,0
oomkilled__checkoutservice__1__58e722,oomkilled,pod,critical,checkoutservice,StressChaos,2026-03-12T23:14:13.231475+00:00,90,"event_types: none | log_signals: permission_denied, resource_exhausted, http_5xx | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: resource_exhausted",oomkilled,1.0,train,True,chaos_mesh,resource_exhausted,,0,0,0
oomkilled__checkoutservice__2__de5dd2,oomkilled,pod,critical,checkoutservice,StressChaos,2026-03-12T23:15:56.458712+00:00,90,"event_types: none | log_signals: permission_denied, resource_exhausted, http_5xx | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",oomkilled,1.0,test,True,chaos_mesh,http_5xx,,0,0,0
oomkilled__productcatalogservice__0__29ca52,oomkilled,pod,critical,productcatalogservice,StressChaos,2026-03-12T23:17:33.009097+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,oomkilled,1.0,train,True,chaos_mesh,,,0,0,0
oomkilled__productcatalogservice__1__ff842a,oomkilled,pod,critical,productcatalogservice,StressChaos,2026-03-12T23:19:03.742603+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,oomkilled,1.0,train,True,chaos_mesh,,,0,0,0
oomkilled__productcatalogservice__2__708896,oomkilled,pod,critical,productcatalogservice,StressChaos,2026-03-12T23:20:34.453130+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,oomkilled,1.0,test,True,chaos_mesh,,,0,0,0
oomkilled__paymentservice__0__fac5c8,oomkilled,pod,critical,paymentservice,StressChaos,2026-03-12T23:22:05.141830+00:00,90,"event_types: Pulled, Created, Started, Unhealthy | log_signals: http_5xx | fault_category: pod | severity: critical | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: http_5xx",oomkilled,1.0,train,True,chaos_mesh,http_5xx,Unhealthy,49,0,0
oomkilled__paymentservice__1__790312,oomkilled,pod,critical,paymentservice,StressChaos,2026-03-12T23:23:35.892036+00:00,90,"event_types: Pulled, Created, Started, Unhealthy | log_signals: permission_denied, http_5xx | fault_category: pod | severity: critical | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: http_5xx",oomkilled,1.0,train,True,chaos_mesh,http_5xx,Unhealthy,49,0,0
oomkilled__paymentservice__2__b7179c,oomkilled,pod,critical,paymentservice,StressChaos,2026-03-12T23:25:06.656961+00:00,90,"event_types: none | log_signals: permission_denied, resource_exhausted | fault_category: pod | severity: critical | metrics: none | pod_status_reason: unknown | dominant_log_signal: permission_denied",oomkilled,1.0,test,True,chaos_mesh,permission_denied,,0,0,0
crashloop_backoff__cartservice__0__974cdc,crashloop_backoff,pod,high,cartservice,PodChaos,2026-03-12T23:26:37.460882+00:00,120,"event_types: Created, Started, Killing, Unhealthy, Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,22,0,0
crashloop_backoff__cartservice__1__f96383,crashloop_backoff,pod,high,cartservice,PodChaos,2026-03-12T23:28:08.194144+00:00,120,"event_types: Pulled, Created, Started, Unhealthy, Killing | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,35,0,0
crashloop_backoff__cartservice__2__7a169e,crashloop_backoff,pod,high,cartservice,PodChaos,2026-03-12T23:29:39.023946+00:00,120,event_types: Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none,crashloop_backoff,1.0,test,True,chaos_mesh,,Unhealthy,29,0,0
crashloop_backoff__frontend__0__fe66ae,crashloop_backoff,pod,high,frontend,PodChaos,2026-03-12T23:31:09.839607+00:00,120,"event_types: Created, Started, Killing, Unhealthy, Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,21,0,0
crashloop_backoff__frontend__1__7d53ad,crashloop_backoff,pod,high,frontend,PodChaos,2026-03-12T23:32:40.527384+00:00,120,"event_types: Pulled, Created, Started, Killing, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,24,0,0
crashloop_backoff__frontend__2__591769,crashloop_backoff,pod,high,frontend,PodChaos,2026-03-12T23:34:15.934133+00:00,120,event_types: Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none,crashloop_backoff,1.0,test,True,chaos_mesh,,Unhealthy,15,0,0
crashloop_backoff__checkoutservice__0__e828a2,crashloop_backoff,pod,high,checkoutservice,PodChaos,2026-03-12T23:35:56.107884+00:00,120,"event_types: Created, Started, Killing, Pulled, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,42,0,0
